,runstring,instability_time,shadow_instability_time,Stable,Pratio21,Pratio32,beta12,beta23
0,0000000.bin,12356653.045331385,83152228.02342616,False,1.3500102464749266,1.483754619601803,8.50858575849593,15.826966919689667
1,0000001.bin,134874.90029490914,213307.18386134075,False,1.2991737237810743,1.663193688619708,8.397001746443223,15.36761752566634
2,0000002.bin,12764.279144255172,9321.862805345363,False,1.1942509255888285,2.2568543211785888,3.46128785960872,25.229467465754027
3,0000003.bin,1000000258.7401515,1000000258.7401515,True,1.34204084295305,1.3732277276568923,18.5136811192895,19.145888819133702
4,0000004.bin,87.91889899220064,87.91889899220064,False,1.051519610189626,1.0369054837400313,5.49419585326995,2.9289377747080416
5,0000005.bin,1000003695.509191,1000003695.509191,True,1.963685935930801,1.9061461667183157,28.331058229534616,22.457058667457854
6,0000006.bin,149.30277961242467,149.30277961242467,False,1.3540759287189117,1.0336657078030727,8.587023005395093,1.0130997316670796
7,0000007.bin,521.1394469811531,321.05293769089263,False,1.0346548016393817,1.3820981232232392,3.100652313358632,16.540578124894
8,0000008.bin,0.8313843876330606,0.8313843876330606,False,2.0884809738132333,1.1576331854056445,21.439690763276662,3.470372773471825
9,0000009.bin,105.72438129401286,105.72438129401286,False,1.4513979952655887,1.014403606345205,26.130293649603892,1.1866165683526073
10,0000010.bin,1000002589.2693236,1000002589.2693236,True,1.142748552574588,1.5365499341572173,6.976848732045509,24.58631628936224
11,0000011.bin,1000001137.91132,1000001137.91132,True,1.302834479347664,1.7211828443615633,14.50385203289338,15.727396918805887
12,0000012.bin,9.283792328569117,9.283792328569117,False,1.1248655030652805,1.0369453869422263,5.135410234835709,1.3149528496119818
13,0000013.bin,1000000299.2233037,1000000299.2233037,True,1.6680601312416465,1.1936759454453607,25.630748680307978,6.386001042338288
14,0000014.bin,1000000104.5816748,1000000104.5816748,True,1.7662795260776032,1.268466582565626,28.270219297417366,8.862341570249443
15,0000015.bin,13947.304487050349,920.169312028461,False,1.2589266993923944,1.873814745179753,5.582369018177648,29.603844098221916
16,0000016.bin,1000000607.48869,1000000607.48869,True,1.2385937987494644,1.2298352841772988,13.956018359733777,12.875956168546924
17,0000017.bin,1000001840.4386027,1000001840.4386027,True,1.3185793330939966,2.321269866794476,9.399135955169545,23.217115696140564
18,0000018.bin,1000000174.8898293,1000000174.8898293,True,1.154734642277445,1.3671914478593463,6.740248520713072,15.195944832395323
19,0000019.bin,8.2792028601792,8.2792028601792,False,1.5746118544146004,1.4073769008815766,15.833259372304568,12.412505224852998
20,0000020.bin,5.403998519614888,5.403998519614888,False,2.322118813308563,1.2926589605344154,27.23387089658488,8.534995977180355
21,0000021.bin,359024.27174825897,646731.4897320283,False,1.3752981008110479,1.2110767401888798,14.893913689666084,7.264416088923118
22,0000022.bin,2025613.0849232462,311303.32758392603,False,2.5711043750181055,1.0482244555085567,29.960288956514542,6.343355725382679
23,0000023.bin,293.7904579798273,293.7904579798273,False,1.1854362815536033,2.056793600716692,3.4229696280898385,18.16878957968629
24,0000024.bin,27242754.89718039,1338906.2452607527,False,2.3114889910989227,1.2300952450927347,29.950196198020524,6.628768882988651
25,0000025.bin,370834.2950501756,671975.3343430436,False,1.3102626098098882,2.4737661505654427,7.207327328609279,26.279535255117672
26,0000026.bin,406.30447843951345,344.15849546394116,False,1.5405338024374793,1.025849685854539,18.421956656697468,2.6459613271676248
