,runstring,seed,pairindex,j,k,Zstar,libfac,Zcom
0,0000000.bin,3500000,1,12,1,0.02165038,0.007181011,0.04166906
1,0000001.bin,700001,1,19,2,0.06029125,0.5232044,0.01065561
2,0000002.bin,2,0,6,1,0.02635348,0.01299504,0.05031908
3,0000003.bin,2100003,0,5,2,0.02351106,0.7134149000000001,0.10219960000000003
4,0000004.bin,700004,0,12,1,0.01747332,0.003611717,0.03980348
5,0000005.bin,1400005,1,23,2,0.004732225,-0.02638225,0.04879355
6,0000006.bin,6,1,5,1,0.0656668,-0.07724743,0.03076866
7,0000007.bin,2100007,0,21,2,0.02515836,0.2341128,0.0297184
8,0000008.bin,8,1,7,1,0.02261202,0.007720586,0.03904033
9,0000009.bin,700009,1,11,2,0.009254916,0.003572109000000001,0.01014287
10,0000010.bin,700010,0,6,1,0.05599299,-0.16560329999999998,0.08288526
11,0000011.bin,2100011,0,8,1,0.0110662,0.103376,0.04666253
12,0000012.bin,12,1,9,2,0.01710251,-2.930812,0.0116643
13,0000013.bin,13,1,9,2,0.04597618,0.2990046,0.04424207
14,0000014.bin,700014,2,8,1,0.008937921,0.003497063,0.01248498
15,0000015.bin,700015,0,9,2,0.06743867,0.1551293,0.02489899
16,0000016.bin,16,1,21,2,0.002174931,-1.095295,0.004798055
17,0000017.bin,700017,0,14,1,0.01127654,-0.01552443,0.007188645
18,0000018.bin,700018,1,3,1,0.04202623,-0.02777658,0.06534137
19,0000019.bin,1400019,0,6,1,0.07450989,1.933554,0.04359758
20,0000020.bin,700020,0,19,2,0.01123526,1.338476,0.002124531
21,0000021.bin,700021,0,3,1,0.03930725,0.6628377,0.02852755
22,0000022.bin,22,0,3,1,0.1273672,-0.4964793,0.1538081
23,0000023.bin,700023,0,20,1,0.02005062,-0.009333173,0.01287916
24,0000024.bin,700024,0,3,1,0.06716949,-0.04064015,0.02968609
25,0000025.bin,700025,1,11,1,0.0305236,-0.01745089,0.04173005
26,0000026.bin,26,2,2,1,0.02113721,-2.141078,0.0159317
27,0000027.bin,27,2,9,2,0.001626604,-0.8910325000000001,0.004054915
28,0000028.bin,28,2,4,1,0.02029167,-0.2459939,0.0194362
29,0000029.bin,29,1,4,1,0.05077144,-0.03225255,0.0146949
30,0000030.bin,700030,2,5,1,0.01004904,-0.003389023,0.01321051
31,0000031.bin,31,1,5,1,0.009917582,0.006523069,0.05719437
32,0000032.bin,32,0,6,1,0.03643944,0.4343531,0.02467861
33,0000033.bin,700033,0,18,1,0.004939211,0.02205959,0.00613591
34,0000034.bin,34,2,7,2,0.1044768,0.03725707,0.008213877
35,0000035.bin,35,0,9,2,0.02774907,0.01712249,0.07195838
36,0000036.bin,700036,0,11,2,0.04210143,-0.1294639,0.01288604
37,0000037.bin,1400037,1,25,2,0.003435705,-0.00408089,0.00674903
38,0000038.bin,38,1,15,2,0.03620008,0.03998678,0.02609843
39,0000039.bin,700039,1,7,2,0.06919109,1.031916,0.00660374
40,0000040.bin,1400040,1,7,2,0.02694772,-1.424688,0.01833203
41,0000041.bin,41,1,33,2,0.008153874,-0.3527924000000001,0.003882962
