,runstring,m1,m2,m3
0,0000000.bin,2.6904018141e-05,1.1535417894e-05,1.882154274e-06
1,0000001.bin,2.3515417925999998e-05,1.2635494871999999e-05,6.64455792e-07
2,0000002.bin,2.3425613210999997e-05,8.721850137e-06,1.9117098000000002e-07
3,0000003.bin,2.0378012655e-05,1.0983196224e-05,1.95729534e-07
4,0000004.bin,2.5809953169e-05,1.6196677496999998e-05,6.051045000000001e-07
5,0000005.bin,2.3898039165e-05,1.0784322549e-05,8.360081729999999e-07
6,0000006.bin,2.7467419980000006e-05,1.0910193294000001e-05,1.0132242119999998e-06
7,0000007.bin,2.3806495713e-05,1.0811046245999999e-05,1.3967853899999998e-07
8,0000008.bin,1.860793935e-05,8.592120537e-06,1.808331525e-06
9,0000009.bin,1.9844941116e-05,1.0992103122000001e-05,1.8694696020000001e-06
10,0000010.bin,2.3944825905000003e-05,1.0425097682999999e-05,3.031270242e-06
11,0000011.bin,2.4864038199e-05,1.1929150233e-05,2.1864662819999996e-06
12,0000012.bin,2.2490112644999997e-05,9.893299416000001e-06,4.4122478399999997e-07
13,0000013.bin,2.5375455104999998e-05,1.0816409604e-05,1.034254221e-06
14,0000014.bin,2.3543565044999998e-05,1.1698108422e-05,1.7175658499999999e-06
15,0000015.bin,2.2729716008999997e-05,1.6588403832e-05,4.431752325e-06
16,0000016.bin,2.8881703850999995e-05,1.225040817e-05,1.1132151030000002e-06
17,0000017.bin,2.1689780111999994e-05,1.0610896296e-05,1.0872745884000001e-05
18,0000018.bin,2.5126872771e-05,1.5307783490999998e-05,4.23398976e-07
19,0000019.bin,2.3805210428999997e-05,1.4363364015e-05,1.294539246e-06
20,0000020.bin,2.1643678055999998e-05,1.0625244629999999e-05,4.5041997000000003e-07
21,0000021.bin,2.4594681111e-05,1.3768583829e-05,5.24344821e-07
22,0000022.bin,2.4183080922000002e-05,1.4437634211e-05,2.5789013249999996e-06
23,0000023.bin,2.1639732114e-05,1.4240844617999998e-05,4.1798757e-07
24,0000024.bin,2.5710704018999995e-05,1.6935184265999997e-05,2.9905976099999996e-07
25,0000025.bin,2.269721454e-05,1.1015016012e-05,6.947839899000001e-06
26,0000026.bin,1.9492244771999997e-05,1.4708715020999996e-05,4.6752205499999993e-07
27,0000027.bin,2.1582287727e-05,1.2761299550999999e-05,5.265811550999999e-06
28,0000028.bin,2.3805159377999998e-05,1.3283812541999999e-05,8.192634450000001e-07
29,0000029.bin,2.627237613e-05,1.3822857048e-05,1.0650349709999999e-06
30,0000030.bin,1.7685024357e-05,7.778439669e-06,3.5157202079999997e-06
31,0000031.bin,2.5349470146000003e-05,1.5553233696e-05,6.345308969999999e-06
32,0000032.bin,2.4891972104999998e-05,1.437127692e-05,5.5484809379999996e-06
33,0000033.bin,2.5174698549000003e-05,1.5583792224e-05,2.52236985e-06
34,0000034.bin,2.1789470702999995e-05,1.4704823132999997e-05,1.255290036e-06
35,0000035.bin,2.3596625052e-05,1.047962916e-05,1.5818873069999996e-06
36,0000036.bin,2.5858769936999995e-05,1.2994386405e-05,1.7938660739999998e-06
37,0000037.bin,2.3957759826e-05,1.0477989521999999e-05,2.429955528e-06
38,0000038.bin,2.0269304055e-05,1.3068536480999999e-05,3.2134202099999996e-07
39,0000039.bin,2.4373744395e-05,1.4526583070999998e-05,1.0373106744000002e-05
40,0000040.bin,2.4703365687e-05,1.3629058443e-05,3.67272906e-07
41,0000041.bin,2.6924967069e-05,1.5049798763999999e-05,6.64644981e-07
42,0000042.bin,2.7124594497000002e-05,1.3987655682e-05,6.88837149e-07
43,0000043.bin,2.3484532071000002e-05,1.3422370962e-05,6.572455889999999e-06
44,0000044.bin,1.9458581141999997e-05,1.0991475495e-05,7.096371281999999e-06
45,0000045.bin,2.5505899419e-05,1.1676976311e-05,3.969446481e-06
46,0000046.bin,2.6434183776e-05,1.0784394621e-05,3.6950954040000003e-06
47,0000047.bin,1.8192384209999998e-05,1.217022807e-05,1.7639682060000003e-06
48,0000048.bin,2.4132777669e-05,1.4082018951e-05,1.550857308e-06
49,0000049.bin,2.5349220897000003e-05,1.0176428261999999e-05,1.1093739657000001e-05
50,0000050.bin,2.0397529151999996e-05,1.3132602482999997e-05,2.9473604159999995e-06
51,0000051.bin,2.6020031036999998e-05,1.0850688849e-05,1.129677549e-06
52,0000052.bin,2.3715928235999996e-05,1.2832083263999999e-05,1.143854712e-06
53,0000053.bin,2.3646414792e-05,1.069602534e-05,4.063059e-07
54,0000054.bin,2.3878600746e-05,1.0349980641e-05,3.98864466e-06
55,0000055.bin,2.4020690693999997e-05,1.2889251375e-05,1.7339622300000003e-06
56,0000056.bin,2.4180339183000004e-05,9.359023674e-06,6.689807124000001e-06
57,0000057.bin,3.0831146346e-05,1.1709420723e-05,8.228970750000001e-07
58,0000058.bin,2.5674424776e-05,1.1203745553e-05,3.358675319999999e-06
59,0000059.bin,2.4120183086999998e-05,9.235750524e-06,4.96975479e-07
60,0000060.bin,2.0171592441e-05,1.0628262645e-05,2.05816611e-07
61,0000061.bin,2.2444217796e-05,1.1433628205999998e-05,8.577048479999999e-07
62,0000062.bin,2.3703222542999995e-05,8.294027741999999e-06,2.8594565999999997e-07
63,0000063.bin,2.2956820886999995e-05,1.3162752603000001e-05,1.443719277e-06
