,shadow_instability_time
0,1000000000.0000002
1,20305576.53412951
2,999000000.016965
3,1625084.1306701351
4,1763932.6996089995
5,999000000.0128273
6,682684.5001871904
7,999999999.9999995
8,1104267.8830731628
9,999000000.0170848
10,999999999.9999992
11,1000000000.0000013
12,1832380.0941590208
13,1212755.959192869
14,999000000.0250707
15,999999999.9999994
16,999999999.9999987
17,999000000.0267178
18,999000000.0070283
19,999000000.0113934
20,939613.1415722477
21,999999999.9999994
22,999999999.9999975
23,999000000.0117954
24,2839141.4760769857
25,55696679.01857695
26,5082370.275592028
27,999000000.01683
28,999000000.0268518
29,999000000.012015
30,999000000.0202746
31,999000000.0237262
32,999999999.9999988
33,1000000000.0000001
34,999000000.0282354
35,1000000000.0000011
36,1000000000.0000001
37,6892399.368787904
38,999999999.999999
39,999000000.0097705
40,999000000.0275263
41,162827608.6614963
42,236270111.3748677
43,1000000000.0
44,9062418.650908688
45,202560478.63449073
46,999000000.0297614
47,3273436.536499904
48,254747208.46988598
49,999000000.0341476
50,999000000.018961
51,1000000000.0
52,999000000.0170327
53,1000000000.0000012
54,999000000.0119004
55,999000000.0267432
56,999999999.9999994
57,50083741.29472625
58,999000000.0027655
59,1000000000.0000005
60,1000000000.0000002
61,4615825.455776218
62,5144116.741012365
63,1000000000.0000004
64,999000000.0119743
65,999000000.0286872
66,2506883.5997988945
67,999999999.9999994
68,1022017.0852880501
69,1000000000.0
70,191315497.24056733
71,926388.2059824435
72,999000000.0180516
73,1216472.7326300885
74,999000000.0266978
75,999999999.9999992
76,999000000.0167027
77,999000000.0020661
78,1198491.8305931345
79,876402751.2014873
80,2306995.3353322907
81,999000000.0093375
82,56032798.143639304
83,2426651.860408748
84,999999999.9999998
85,999999999.9999995
86,999000000.0210034
87,999000000.0007575
88,66337658.530987136
89,7457738.689383279
90,1000000000.0000004
91,1000000000.0000012
92,365189300.25660187
93,623311.9465644414
94,999000000.0305713
95,4152525.388382049
96,3582765.5969445296
97,999000000.003591
98,1000000000.0000008
99,999999999.9999999
100,2971450.9307852536
101,999000000.0345585
102,1297736.8858873586
103,4167224.996908077
104,999000000.0283138
105,999000000.0175602
106,999000000.0341129
107,1000000000.0000019
108,999000000.0226341
109,3728918.261670682
110,111227346.58114228
111,697599.6057838529
112,999000000.03456
113,999000000.0235348
114,999000000.0179552
115,999000000.0141094
116,557083853.3019339
117,168586710.10060787
118,999999999.9999988
119,999000000.025824
120,999000000.0326476
121,999000000.027427
122,999999999.9999999
123,753566.3927898124
124,3370926.3539882516
125,96220.61850450486
126,999999999.9999982
127,999999999.9999995
128,1000000000.0000014
129,999000000.00015
130,999999999.9999988
131,999000000.018268
132,999000000.0303985
133,999000000.007053
134,999000000.0326638
135,1000000000.0000006
136,21354227.77316885
137,340544039.02946216
138,999000000.0113571
139,999999999.9999989
140,135253.87303227888
141,999999999.9999999
142,999000000.0229529
143,4792525.615039519
144,16253371.915570134
145,999000000.0039365
146,999000000.0126519
147,2152333.2106380267
148,53368752.37353384
149,999000000.0214673
150,3384619.983613202
151,1000000000.0000006
152,7281719.926138567
153,3243794.114634622
154,7916329.562071991
155,316340484.5613842
156,999000000.0230205
157,59923800.648971796
158,999999999.9999999
159,1000000000.0000001
160,999999999.9999989
161,999999999.999998
162,3923212.993711513
163,7707463.596621536
164,999999999.9999987
165,9320075.66256847
166,1000000000.0000004
167,814000000.0226829
168,857000000.0117674
169,172066381.8766241
170,1435786.4283821492
171,825000000.0037931
172,35994928.79328168
173,65142312.94659345
174,999000000.0001392
175,999000000.0282217
176,999000000.0026356
177,10099771.76363354
178,3482354.8356004204
179,999999999.9999986
180,999000000.0280405
181,999000000.0167359
182,1000000000.0000005
183,999000000.009832
184,999000000.0309999
185,2458274.2801449774
186,999999999.9999998
187,999999999.9999985
188,7342881.667220938
189,1000000000.0000004
190,999000000.013826
191,999000000.0314733
192,977229328.8159457
193,999999999.9999999
194,1000000000.0000011
195,1000000000.0
196,999000000.0120729
197,999000000.0091785
198,999999999.9999999
199,999999999.9999994
200,1000000000.0
201,999000000.0047517
202,999000000.0237565
203,1000000000.0000001
204,1000000000.0000001
205,2957483.7093434427
206,999000000.0160192
207,999000000.0076557
208,999000000.0003548
209,999000000.006292
210,999000000.027079
211,999000000.0339221
212,1000000000.0000007
213,612244135.7789801
214,1899021.822983832
215,999999999.9999992
216,4336108.254291597
217,999000000.0155829
218,999999999.9999999
219,3074621.3991707526
220,7213871.529594366
221,1000000000.0000014
222,132534905.3091506
223,4599095.876402084
224,999000000.001787
225,158419811.315041
226,366384.3101534174
227,1000000000.0000002
228,999000000.0307846
229,1835241.437393623
230,999999999.9999996
231,7655083.402797856
232,761727639.2750541
233,1000000000.0000015
234,46610121.15154121
235,999000000.0167868
236,8135719.3849822385
237,61949788.84969926
238,3704403.646100227
239,4708288.104018029
240,999999999.9999998
241,24636324.07270327
242,999000000.0192939
243,3116882.6894909656
244,999999999.9999994
245,1000000000.0000007
246,999000000.0053128
247,1000000000.000001
248,1000000000.000001
249,999999999.9999995
250,999000000.0323566
251,999000000.0171232
252,999999999.9999996
253,8501385.396866988
254,999999999.9999996
255,999000000.0040511
256,12720255.088201657
257,999999999.9999994
258,999999999.9999992
259,999999999.9999981
260,152322.47164966993
261,999000000.0201914
262,2711944.667216769
263,14087281.809645832
264,999000000.0014199
265,94601012.42018612
266,1000000000.0000002
267,1000000000.0000006
268,999000000.0243258
269,6352993.1970506245
270,999000000.009013
271,999000000.0268546
272,1000000000.0
273,999000000.0226051
274,8658201.185674772
275,1243096.846672071
276,1000000000.0000001
277,2244135.8596432228
278,999000000.0089786
279,999000000.0233766
280,1485324.3975470955
281,1000000000.0
282,1458518.2752644734
283,5449467.65725793
284,999000000.020701
285,999000000.0323799
286,999999999.9999994
287,999000000.0139048
288,879346785.3193265
289,1655792.7644339886
290,405657.176497174
291,999000000.0129442
292,2557607.7741386807
293,999999999.9999993
294,999000000.0102522
295,999000000.0198408
296,581955.5957010896
297,14204151.78234617
298,999000000.0266699
299,992000000.017751
300,4661451.0781641565
301,984000000.0337489
302,752000000.0121579
303,655000000.0317905
304,655000000.0300673
305,654000000.0319439
306,13392273.50906039
307,3521429.6088402523
308,999000000.033913
309,999999999.999999
310,18108282.48925202
311,6709008.744832964
312,999000000.0281183
313,3324801.994493106
314,1000000000.000001
315,999000000.0309503
316,999000000.0020236
317,2662596.8739112793
318,999000000.0114006
319,999000000.0134419
320,24829096.007464986
321,1000000000.0000015
322,999000000.0223224
323,999999999.9999987
324,999000000.0313466
325,999000000.0238817
326,999000000.0099725
327,999000000.0183713
328,999999999.9999985
329,1000000000.0000002
330,6064344.069665385
331,999000000.0168617
332,2971166.8116604625
333,999000000.0037829
334,1000000000.0
335,999000000.0220382
336,283917.7684521057
337,999000000.0019611
338,999999999.9999989
339,999000000.025323
340,87055.95663596813
341,999000000.0120399
342,11347247.395499472
343,999000000.0245396
344,3798998.112815592
345,999000000.0050222
346,4266620.874864068
347,999000000.0337089
348,3111438.7203328176
349,999999999.999999
350,6225159.151073028
351,1000000000.000001
352,999000000.0319895
353,999999999.9999992
354,2401376.554996672
355,2244166.9583591614
356,999000000.0341231
357,2257224.402402032
358,999999999.999999
359,1000000000.0
360,7184854.9703850765
361,999000000.0012851
362,999000000.0172242
363,999000000.003798
364,999000000.0307024
365,17331414.523444902
366,999999999.9999999
367,999000000.0106864
368,999000000.0300081
369,999000000.0151047
370,999000000.0195848
371,999000000.0132713
372,2302871.3913611583
373,1000000000.0000012
374,999000000.0162753
375,999000000.0067492
376,549699.5790852803
377,999000000.0090016
378,999000000.0144414
379,1000000000.0000001
380,926677.9422104296
381,999000000.017775
382,389088.23958785174
383,999999999.9999998
384,721718.2046430161
385,999000000.0328696
386,999000000.0255724
387,999000000.0237374
388,999000000.0314193
389,272774901.26977605
390,288414750.96756506
391,999000000.0311161
392,45637367.076085664
393,1000000000.0000006
394,999999999.9999998
395,999999999.9999985
396,1000000000.0
397,539347.6660758222
398,3062386.7878850806
399,194505025.80098534
400,92273.37865032944
401,1000000000.0
402,999000000.0293993
403,1000000000.0
404,999999999.9999988
405,2814802.73304891
406,16828138.784154996
407,999000000.0146807
408,483077098.3050875
409,1000000000.0000002
410,37794813.04438038
411,999000000.0064888
412,999000000.001954
413,999999999.9999998
414,999999999.9999988
415,1000000000.0000004
416,1000000000.0000001
417,729249.1962222287
418,1000000000.0000008
419,1000000000.000001
420,999999999.9999998
421,1000000000.0000006
422,1412445.862663508
423,999999999.9999995
424,3204585.1834258894
425,999999999.9999998
426,999000000.0061555
427,999999999.9999999
428,999000000.0131344
429,999000000.0059286
430,1000000000.0
431,999000000.0277113
432,286097.7620965635
433,1552079.5036604083
434,718744.6899497317
435,18112839.652162123
436,999999999.9999999
437,999000000.0332474
438,20421493.957771767
439,999000000.0118256
440,7003816.707040099
441,999000000.0043167
442,999000000.0202026
443,999000000.0318549
444,999000000.0243927
445,999999999.9999994
446,999000000.00367
447,999999999.9999994
448,999000000.0221636
449,2293175.4800680154
450,999000000.0180558
451,930985.2429927184
452,999000000.0081296
453,999000000.0310209
454,45904497.325265035
455,1000000000.0000006
456,999999999.9999996
457,2352390.2112521543
458,1000000000.0000005
459,999999999.9999993
460,8128628.3958324455
461,2877556.8210074813
462,999000000.0239573
463,147126187.28911847
464,73311077.9814845
465,999000000.0341916
466,194297.8222510281
467,26784098.359352708
468,1000000000.0000004
469,999000000.0194539
470,1000000000.0000006
471,999999999.9999994
472,560306.3461381206
473,27095570.38014626
474,999000000.009842
475,999000000.0134567
476,99302550.3637095
477,1000000000.0000001
478,350476245.60743755
479,496844477.14921516
480,999000000.0229559
481,28948111.502892036
482,999999999.9999999
483,1658251.586648766
484,999000000.0219604
485,999000000.0109494
486,999000000.0313215
487,377778.70998415776
488,999999999.9999996
489,597706.1733660988
490,254856.34599356685
491,999000000.0331907
492,733000000.0298955
493,999999999.9999992
494,999000000.0314271
495,999000000.0183991
496,999999999.9999996
497,1000000000.0
498,999000000.0039046
499,33717627.884051
500,197726830.75472653
501,1000000000.0000005
502,54329.445526930074
503,17487690.256659113
504,449338.8048563501
505,30330687.225952845
506,999000000.0219967
507,999000000.0289949
508,5009704.936791041
509,999000000.0093348
510,53601.15280186165
511,1000000000.0000001
512,1000000000.0000004
513,7990524.476460535
514,999000000.0221698
515,999000000.0086496
516,999999999.9999994
517,999000000.0235527
518,822607545.0874138
519,1000000000.0000002
520,999999999.9999995
521,999999999.9999998
522,6072735.018874068
523,999000000.0063732
524,490897.3550781559
525,999000000.0180898
526,999999999.9999998
527,999000000.0272791
528,1000000000.0000011
529,4804918.1504141
530,999000000.0047183
531,999000000.018582
532,999000000.0109581
533,1638683.2598367173
534,41169295.61144629
535,999000000.0225992
536,250493551.21086827
537,999000000.0145948
538,1000000000.0000002
539,32507364.404783577
540,999000000.0281886
541,1000000000.0
542,1000000000.0000005
543,1000000000.0000001
544,445335981.4176733
545,999999999.9999998
546,1000000000.0000001
547,2282443.9979970674
548,999000000.0276829
549,999000000.0199134
550,999999999.9999992
551,1000000000.0000005
552,659783.8782701385
553,2670461.76229649
554,1820441.8958871523
555,999000000.0010588
556,999999999.9999992
557,1000000000.0000008
558,3741228.308767081
559,999999999.9999999
560,1099988.540393307
561,999000000.0036968
562,999000000.0095613
563,12719546.751249919
564,1000000000.0000004
565,999000000.0075569
566,57410072.749736555
567,999999999.9999989
568,1065733.564730634
569,7899307.495328484
570,999999999.9999999
571,3425682.246200167
572,295275266.912892
573,999999999.9999999
574,1000000000.0000013
575,11058814.363391131
576,999000000.0103498
577,999000000.0088524
578,999000000.0255167
579,1000000000.0000005
580,1000000000.0000001
581,999000000.0317764
582,2634353.5202645506
583,999999999.9999998
584,389459125.30989575
585,1000000000.0000001
586,8479714.960776541
587,1000000000.0000011
588,999000000.0239576
589,999999999.9999998
590,999999999.9999998
591,999999999.9999996
592,1353987.3489307677
593,999999999.9999998
594,108918.8372480012
595,1000000000.0
596,999999999.9999998
597,1000000000.0000011
598,94751115.05405277
599,999999999.9999996
600,999999999.999999
601,6870745.3651639735
602,4916237.325215707
603,1000000000.0000002
604,999000000.0145438
605,999000000.0255712
606,45312544.07049013
607,999999999.9999999
608,999999999.9999995
609,2361079.6605999754
610,999000000.0300248
611,999999999.9999999
612,1000000000.0
613,6057007.059701815
614,1000000000.0000001
615,999999999.9999994
616,1000000000.0000001
617,426000000.0104483
618,1941342.8533166738
619,999999999.9999992
620,999000000.0105267
621,999000000.0132235
622,999000000.0048388
623,28818451.370749608
624,1000000000.0000005
625,122776314.52676232
626,2152334.7059893464
627,4723031.917940652
628,999000000.019713
629,1370807.9148545417
630,1000000000.0000006
631,3051620.8181849113
632,8464216.131473163
633,999000000.0240891
634,999999999.9999993
635,66129791.34391047
636,2713883.9422187284
637,999000000.0163022
638,1000000000.0000004
639,288442989.003364
640,999999999.9999993
641,999000000.0053084
642,999000000.0163417
643,999000000.0012928
644,999000000.0201167
645,434000000.0096481
646,999000000.0339197
647,1754707.8679512774
648,999999999.9999996
649,999999999.9999993
650,999000000.0106106
651,999000000.0117588
652,1000000000.0000008
653,999999999.9999999
654,2747472.282169886
655,999999999.9999993
656,1000000000.0000005
657,999000000.0295421
658,1000000000.0000002
659,999000000.0255563
660,999000000.0337453
661,999000000.0007707
662,2305442.1017897893
663,1000000000.0000008
664,79923507.83855502
665,999000000.0310702
666,1000000000.0000005
667,999000000.0216408
668,1000000000.0
