,runstring,m1,m2,m3
0,0000000.bin,3.176472066414706e-06,1.1029012581197255e-06,4.910358591121176e-06
1,0000001.bin,4.713238482305294e-08,5.677658470657844e-06,6.842918016528431e-06
2,0000002.bin,5.014554177742353e-07,1.249063967504294e-06,8.776824875474117e-06
3,0000003.bin,3.828398281579019e-06,4.1606411087978434e-07,5.677658470657844e-06
4,0000004.bin,1.3571151921806469e-06,2.864284228211569e-07,3.4512551887258826e-06
5,0000005.bin,7.134580852755099e-07,8.598853226212549e-07,1.0802608179808823e-06
6,0000006.bin,3.7507681173707846e-07,2.0979004706267447e-06,4.159576774939019e-06
7,0000007.bin,1.5691800147637062e-06,2.9243147824366665e-07,1.6699243302983136e-06
8,0000008.bin,5.677658470657844e-06,2.9243147824366665e-07,1.0360995784439021e-05
9,0000009.bin,9.53851080683902e-07,2.635560369296196e-06,4.246754470726274e-06
10,0000010.bin,1.852408786626157e-06,1.0580851425037453e-06,2.1867588679967845e-06
11,0000011.bin,5.118341096047452e-06,1.4748907617954315e-07,6.98633400751e-06
12,0000012.bin,1.3571151921806469e-06,9.342703538179216e-07,4.910358591121176e-06
13,0000013.bin,7.134580852755099e-07,1.60206737455751e-06,5.918140628680392e-06
14,0000014.bin,2.985603475560588e-07,3.828398281579019e-06,3.3110143009360785e-06
15,0000015.bin,6.431739170355098e-07,4.5205605196011757e-07,6.430093866779216e-06
16,0000016.bin,8.779070650097647e-07,2.86355151547451e-06,3.908635036132156e-06
17,0000017.bin,1.6699243302983136e-06,1.2234230882515098e-06,6.7024460798252925e-06
18,0000018.bin,1.1496155992553725e-06,1.635643997802941e-06,4.809558379928824e-06
19,0000019.bin,2.0126528119148433e-06,5.013271404317647e-06,4.910358591121176e-06
20,0000020.bin,1.6699243302983136e-06,1.7771366208366078e-06,5.677658470657844e-06
21,0000021.bin,4.4277621126113726e-07,7.914227022578627e-07,6.168808617484117e-06
22,0000022.bin,1.7406554263613921e-06,3.1772848478519603e-07,3.4512551887258826e-06
23,0000023.bin,6.431739170355098e-07,5.796652591870195e-06,1.4145969853898238e-06
24,0000024.bin,1.3292562292477254e-06,1.4745134698972549e-06,8.779070650097647e-07
25,0000025.bin,1.036364690961039e-06,5.562530020862941e-07,1.275242236228745e-06
26,0000026.bin,2.74719181886449e-06,5.679111244445295e-07,3.4512551887258826e-06
27,0000027.bin,1.0150901184878236e-06,1.126016203600804e-06,3.380407562128235e-06
28,0000028.bin,6.844668951736863e-07,2.0548346116729805e-06,4.910358591121176e-06
29,0000029.bin,1.249063967504294e-06,4.1606411087978434e-07,1.9713369233232747e-06
30,0000030.bin,6.170387064578431e-07,1.2234230882515098e-06,8.596653553022548e-06
31,0000031.bin,1.357462444736157e-07,1.301969157203e-06,3.11126520848e-06
32,0000032.bin,1.0580851425037453e-06,6.299707943997255e-07,2.9243147824366665e-07
33,0000033.bin,2.86355151547451e-06,1.1983085669036276e-06,3.7498086331307844e-06
