,shadow_instability_time
0,106.0707914555106
1,999000000.0322906
2,999000000.0104425
3,16.489123688055386
4,999000000.0066177
5,999999999.9999998
6,188370.60585871062
7,999000000.0126996
8,999000000.0157086
9,999000000.0177286
10,1000000000.0000011
11,999999999.9999998
12,999000000.0066161
13,999999999.9999993
14,999000000.0250324
15,187.6503844920437
16,999999999.9999992
17,17074.52222015928
18,1000000000.0000012
19,999000000.0191357
20,1000000000.0000012
21,999000000.0110089
22,68082538.89091295
23,160.49182782935563
24,999000000.0025487
25,932856.0981631584
26,999000000.0207589
27,1000000000.0
28,999000000.0091275
29,999999999.9999995
30,2097.5135279695123
31,550566.7130735349
32,999000000.0218356
33,999999999.9999992
34,1000000000.0000006
35,39.282912315663914
36,999999999.9999999
37,999000000.0210674
38,999999999.999999
39,212407.8683859181
40,2570805.107890717
41,999000000.0342844
42,196544.1882926043
43,7176.648598137681
44,56518.9655927195
45,1000000000.0000001
46,17092703.741220992
47,999000000.0213383
48,999000000.0177274
49,999999999.9999985
50,999999999.999999
51,1000000000.0000001
52,1000000000.0000005
53,999000000.003765
54,999000000.0278163
55,999999999.9999992
56,219661.76649499123
57,999000000.0191367
58,999000000.0260957
59,1000000000.0000005
60,999000000.0289642
61,1000000000.0000002
62,1000000000.0000004
63,999000000.0250326
64,999000000.0249076
65,999000000.0207583
66,999000000.0191344
67,1000000000.0
68,999000000.0140692
69,999000000.0210669
70,48823668.39209956
71,999000000.0194689
72,1000000000.0000006
73,55130077.302709624
74,999000000.0104412
75,999000000.0139298
76,26.742864468862777
77,999000000.0177269
78,999000000.0150646
79,999000000.0040874
80,1000000000.0
81,999999999.9999988
82,999999999.999999
83,1000000000.0
84,1000000000.0
85,999000000.0140709
86,999000000.0040885
87,3141198.74185831
88,999999999.9999995
89,1000000000.0000008
90,999000000.0331603
91,283821481.02010417
92,1000000000.000001
93,5153678.573932873
94,10529.275423203231
95,999000000.0181631
96,53068707.41375532
97,999000000.0263973
98,1000000000.0
99,999999999.9999986
100,1000000000.0
101,999000000.0279087
102,999000000.0025485
103,999000000.0066165
104,999000000.015502
105,999999999.9999999
106,1000000000.0
107,999000000.0081072
108,999999999.9999996
109,999000000.002549
110,316307.4648782738
111,1000000000.0000001
112,999999999.9999989
113,999000000.0298251
114,1000000000.0000005
115,999000000.019122
116,999000000.0104222
117,999000000.010442
118,392.8637641726564
119,215300.80899693587
120,999000000.0250312
121,218.51552988283868
122,1000000000.0000001
123,999000000.0040885
124,999999999.999999
125,999000000.0191361
126,1000000000.0000006
127,230600.11759194417
128,3606399.035942284
129,999000000.0278163
130,1000000000.0
131,999999999.9999996
132,999000000.0040865
133,999000000.0077717
134,1000000000.0000001
135,999000000.0260969
136,999999999.9999999
137,999999999.999999
138,1046600.879183881
139,999999999.9999999
140,3050062.1481677494
141,999999999.999999
142,6471.738560458017
143,999000000.028483
144,999000000.0298237
145,999000000.0181631
146,999000000.0148885
147,2795.4607213876084
148,999999999.9999987
149,1000000000.0000008
150,53723.12382189887
151,999000000.0289654
152,999999999.9999988
153,43186.78163110947
154,999000000.0258086
155,999999999.9999995
156,1000000000.0000004
157,999000000.0269396
158,999999999.9999982
159,1034.3807422803432
160,999000000.0023099
161,999000000.0104237
162,565546640.2856
163,8546787.704980135
164,999000000.0022134
165,1000000000.0000001
166,999999999.9999998
167,999000000.031308
168,11601731.012449754
169,274806.45371149544
170,999999999.9999998
171,999000000.0244524
172,999000000.0344801
173,999000000.0249071
174,353046.2370343439
175,999000000.0289654
176,45467.40756876871
177,85.6325919262099
178,1000000000.000001
179,6130849.358204066
180,999999999.9999987
181,999000000.0298243
182,152.07406090456118
183,999000000.0066167
184,1096.3188791577138
185,999000000.0126987
186,1000000000.0000004
187,999999999.999999
188,999999999.9999999
189,999999999.9999998
190,999000000.0306965
191,999000000.0220118
192,87725.60211875552
193,999000000.0091282
194,999999999.999999
195,999000000.0110091
196,9677.45283609939
197,1000000000.0000001
198,999999999.9999999
199,999999999.9999993
200,96163.07977958808
201,156855.2139654704
202,999000000.0218363
203,74.3049796447063
204,999000000.0298246
205,999999999.9999993
206,999000000.021339
207,1828886.9602873428
208,999999999.9999994
209,999999999.9999995
210,999000000.0022144
211,999999999.9999992
212,18.8793538025008
213,999999999.9999998
214,1000000000.0
215,999999999.9999988
216,999000000.0181639
217,250770301.98979312
218,2457252.0974763776
219,1000000000.0000012
220,999000000.01258
221,999000000.0076578
222,307012.48341346113
223,1000000000.0000008
224,999999999.999999
225,1156683.1372211305
226,344460335.8056517
227,999000000.0289639
228,999999999.9999999
229,999000000.0344805
230,999000000.0032642
231,999000000.0023102
232,999000000.0076578
233,999000000.0320529
234,999000000.0210669
235,1000000000.0
236,1000000000.0000002
237,1000000000.0
238,38706105.44468056
239,7324.981429333824
240,1000000000.0000001
241,1000000000.0000008
242,19.537533109377318
243,29.825914906335317
244,999000000.0040866
245,999000000.0213387
246,999000000.0091271
247,145.38834478730996
248,498733.49886324035
249,1000000000.0
250,999000000.0177269
251,999999999.999999
252,999000000.0104234
253,138421855.06954113
254,1000000000.0000008
255,1000000000.0000008
256,999000000.0344778
257,1000000000.0000004
258,752913.029115193
259,999000000.0024246
260,1694964.306346176
261,1000000000.0
262,125649.65128112466
263,999000000.0207577
264,256.4820835848781
265,240551581.00120768
266,6154.253647405975
267,1000000000.0
268,999000000.031458
269,999000000.0289639
270,999999999.9999998
271,77886.68751326522
272,999000000.0342855
273,999999999.9999994
274,1502.4847935317184
275,999000000.0181634
276,14887010.941855928
277,153005.69636255834
278,1000000000.0000007
279,999000000.0091289
280,1000000000.0000014
281,999000000.0313071
282,25316042.87524702
283,999999999.9999999
284,1000000000.0000011
285,154962.56738718535
286,340291.76125323307
287,1000000000.0000011
288,1000000000.0000011
289,999000000.0217668
290,56743292.95323724
291,1000000000.0000008
292,221583178.5476356
293,1000000000.0000001
294,675904.9415967122
295,1000000000.0000011
296,1000000000.0000004
297,999999999.9999995
298,999000000.0247263
299,999000000.0076567
300,196.10279243292575
301,999000000.0025479
302,999999999.9999998
303,999000000.0032637
304,17953417.094447125
305,999000000.0264779
306,999000000.0022136
307,2260812.979804078
308,999000000.0104234
309,999000000.0059885
310,999999999.9999994
311,1000000000.0000017
312,999000000.0134234
313,999000000.0213935
314,146453789.27577984
315,1737157.133594535
316,69095424.14151345
317,999000000.0313089
318,999999999.9999992
319,999000000.0207583
320,942008.5321365533
321,999999999.9999993
322,999000000.0024246
323,999999999.9999992
324,95.29743543242893
325,999000000.0181645
326,999000000.0313075
327,999000000.0313065
328,999999999.9999996
329,999999999.9999998
330,999999999.9999999
331,1000000000.0000004
332,999000000.0191357
333,275686.3007615879
334,346.7565716754118
335,2269544.1760542435
336,999000000.0091287
337,999000000.0040876
338,999000000.0126996
339,999000000.0298237
340,999999999.9999989
341,1000000000.0000006
342,1000000000.0
343,17907634.036392868
344,999999999.9999999
345,1000000000.000001
346,293.65189391533477
347,12983.660699758717
348,999000000.0247265
349,999999999.999999
350,999000000.0124533
351,1000000000.0000006
352,999999999.9999986
353,16094.874283411147
354,4287517.828889143
355,1000000000.0000004
356,12.990381056766624
357,1000000000.0000012
358,999000000.027444
359,999999999.9999995
360,999999999.9999999
361,989955.2331272296
362,1000000000.0
363,1000000000.000001
364,999999999.9999993
365,999000000.024608
366,999999999.9999985
367,999000000.024908
368,1000000000.0
369,19714.999034711844
370,999000000.0247265
371,65612.26697562612
372,999000000.0150639
373,999999999.9999996
374,999000000.0344802
375,1000000000.0000005
376,999000000.0213928
377,295687.5385714158
378,1000000000.0000002
379,999999999.9999995
380,1000000000.0000013
381,999000000.0124551
382,999000000.0314578
383,999000000.0140698
384,999000000.0025485
385,132.15547661748906
386,999000000.0177265
387,999000000.0230571
388,24021.812649400603
389,1000000000.0
390,12843423.776270797
391,1000000000.0000006
392,1000000000.0000017
393,999000000.0104243
394,20735180.61122351
395,999999999.999999
396,999999999.9999985
397,999000000.0125803
398,1000000000.0000008
399,4950.2704900687595
400,999000000.0314575
401,617328.507820707
402,999999999.9999999
403,999000000.0006635
404,1380615.0688089915
405,999000000.0148903
406,78208.57182853264
407,1000000000.0
408,999000000.0181634
409,999000000.0024246
410,1198.16346664378
411,10450.74423976652
412,173316603.2518654
413,999000000.0081067
414,1000000000.0000002
415,1000000000.0000015
416,118437.42638825919
417,999999999.9999998
418,443134.183358723
419,1000000000.0000006
420,478964.5641354423
421,1000000000.0
422,1000000000.0
423,999000000.0040874
424,340.9715219780557
425,999999999.9999994
426,999000000.0248275
427,1722497.3715268155
428,999000000.0264773
429,999000000.0040876
430,14430.927713612771
431,252577.14035206422
432,238578.67109388555
433,46.00326944902766
434,999999999.9999996
435,999000000.0177279
436,51.16478085558207
437,999999999.9999993
438,29556447.00709034
439,999000000.0084537
440,999999999.9999992
441,999999999.9999998
442,2981.0672859140136
443,1000000000.0000012
444,999000000.0081072
445,1000000000.0
446,1000000000.0000012
447,1201897.8384253078
448,999000000.0269405
449,999999999.9999995
450,999999999.9999986
451,45985169.1829138
452,1000000000.0000002
453,1000000000.0000002
454,999999999.9999994
455,3796.4821651048574
456,999000000.0344805
457,419.43342356079177
458,999000000.0248259
459,999000000.0289649
460,1013886.9101453942
461,39946.94595264786
462,43.37055222152495
463,999000000.001214
464,999000000.021645
465,1000000000.0000005
466,1000000000.0000008
467,999000000.0248275
468,999999999.9999995
469,999999999.9999992
470,999999999.9999999
471,999999999.9999993
472,210316630.02455178
473,59996.92361486219
474,51064.49511216823
475,1000000000.0000006
476,999000000.0191224
477,421642.6199009326
478,1000000000.0000005
479,1000000000.0000002
480,999999999.9999988
481,99143247.03623445
482,2766754.8132840265
483,817431.228358438
484,72751.95360736248
485,3697561.165638865
486,2423333.1091964706
487,1000000000.0
488,999000000.0059879
489,273792.5804415938
490,999999999.9999993
491,999000000.0025485
492,999000000.0213393
493,1000000000.0000007
494,1000000000.0
495,114620.0903058436
496,1000000000.0000002
497,999000000.0119766
498,2701451.0654700315
499,1000000000.0000011
500,1000000000.0
501,1000000000.0000004
502,999000000.0059887
503,999000000.0289642
504,1000000000.0
505,999000000.001832
506,999000000.0140696
507,999000000.0215858
508,65353.221458616186
509,1000000000.0
510,1000000000.000002
511,106063.10114237294
512,999999999.9999994
513,7009269.771139596
514,999000000.028165
515,999000000.0076586
516,999000000.003764
517,1000000000.0000005
518,160426.4602177923
519,1000000000.0000002
520,5153.717177949808
521,999000000.0084543
522,147703.4038963656
523,2835861.8053921605
524,316.896015752746
525,999000000.0298243
526,999000000.0289633
527,1501160.0501933936
528,999999999.9999998
529,612104.3308958637
530,999000000.0336521
531,999000000.0025485
532,1000000000.0000011
533,999000000.002549
534,1000000000.0
535,999999999.9999999
536,999000000.0313071
537,999999999.9999993
538,999999999.9999999
539,999000000.0306983
540,1000000000.0
541,46.107192497481954
542,23.659814031391278
543,429744.5643744073
544,1026070.848214457
545,14098.547163520114
546,1000000000.0
547,1092.4044443345829
548,999000000.0126987
549,999000000.0181637
550,999000000.0244524
551,999999999.9999996
552,999000000.0217661
553,119587.09240129168
554,858499.3321335549
555,11232953.694720758
556,1000000000.0000007
557,1000000000.0000005
558,999000000.0140706
559,999000000.0177274
560,45235683.21598686
561,999000000.0313075
562,1082444.876617819
563,999000000.0306977
564,999999999.9999999
565,152349954.94958407
566,1000000000.0000006
567,332500.33858576295
568,999000000.0192564
569,1000000000.0
570,999000000.0110077
571,999000000.0098287
572,1000000000.0000005
573,999000000.0037639
574,1000000000.0000005
575,594.7516063034712
576,999000000.0230556
577,999000000.0213395
578,1000000000.0
579,999000000.0288198
580,999999999.9999993
581,1000000000.0000007
582,1000000000.0000006
583,999000000.0022146
584,999000000.0022134
585,999000000.0210667
586,249257.52651627726
587,1202185.8421491664
588,999999999.9999993
589,1000000000.0
590,77.94228634059635
591,8729036.306226516
592,1000000000.0000013
593,999000000.0023108
594,1000000000.0000007
595,1407893.9294491257
596,999999999.9999987
597,999999999.9999995
598,1000000000.0000008
599,1000000000.000001
600,999000000.0215839
601,4482000.346127336
602,1000000000.0000002
603,999000000.0320531
604,999000000.0250324
605,1000000000.0000008
606,999999999.9999996
607,999000000.0213399
608,1000000000.0000001
609,3577059.4401533105
610,4534.924706394814
611,322355.7517326585
612,999999999.9999994
613,999000000.0248268
614,999000000.0076581
615,999999999.9999993
616,1000000000.0
617,75240.39100121231
618,999000000.0184734
619,1000000000.0000013
620,999999999.9999998
621,999000000.0037639
622,999000000.0248275
623,999000000.024828
624,1000000000.0000005
625,999999999.9999996
626,999000000.0000619
627,6727.493182754947
628,999000000.0177268
629,999000000.0274965
630,999000000.0022129
631,999000000.0210677
632,999999999.9999998
633,1000000000.0000024
634,999999999.9999996
635,999999999.999999
636,999000000.0059885
637,999999999.9999999
638,661523.6549106567
639,999000000.0081071
640,999999999.9999989
641,999000000.0288186
642,1000000000.0000011
643,1000000000.0
644,120043.27997828418
645,999000000.023868
646,1231640.788330479
647,999000000.0224658
648,999000000.0218363
649,999999999.9999988
650,999000000.0076578
651,999999999.9999998
652,999999999.9999998
653,999999999.9999995
654,999000000.0077711
655,999999999.9999998
656,47853.41148369412
657,19949.4494323172
658,1064057.2512781573
659,999999999.9999999
660,999000000.0278152
661,999000000.0066147
662,999000000.0344793
663,999000000.0066167
664,7303.711845278336
665,3400.119658292622
666,1000000000.0000002
667,999000000.028166
668,1000000000.0
669,999000000.0025481
670,34.08675989295604
671,16509487.910481138
672,999999999.9999996
673,999000000.0170854
674,999000000.0140698
675,999000000.0306977
676,999000000.0124551
677,1000000000.0000007
678,999999999.9999999
679,999000000.0306971
680,999000000.0081071
681,26.708223452711664
682,999999999.9999999
683,999000000.0037644
684,999000000.0022131
685,999999999.9999999
686,1000000000.0000002
687,999000000.0313065
688,999000000.0330274
689,999000000.0244534
690,82668.32552667522
691,1000000000.0
692,999000000.0177279
693,999000000.0210669
694,999000000.0216464
695,54965.731707934225
696,925.9197207098567
697,999000000.0248268
698,999000000.0023106
699,727113.0585104963
700,999999999.9999985
701,577960.1355360812
702,999000000.0213395
703,999000000.0110081
704,1000000000.0000011
705,999000000.0330278
706,999000000.0247263
707,999000000.0125815
708,1000000000.0000004
709,1000000000.0000002
710,11008763.092226442
711,1000000000.0000023
712,1000000000.0000002
713,1000000000.0
714,1000000000.0000004
715,1000000000.0000002
716,1000000000.0000008
717,55969.17803000079
718,999000000.021339
719,999999999.9999986
720,1000000000.0000001
721,226138.9090615709
722,1000000000.0000019
723,999000000.0207572
724,13.821765444399498
725,999999999.9999996
726,999999999.9999998
727,999999999.9999987
728,1000000000.0000004
729,999000000.0313077
730,286138587.88998675
731,999999999.9999999
732,999999999.999999
733,12061.551490806663
734,999000000.031308
735,1000000000.0000018
736,1686608.205474211
737,999000000.0320514
738,999000000.0236586
739,1000000000.0000001
740,5443.142867855959
741,999999999.9999983
742,2625672.762437831
743,999999999.9999992
744,999000000.0260978
745,136870594.08543038
746,999000000.0269405
747,999999999.9999992
748,1000000000.0000004
749,999000000.0148895
750,5396883.594060219
751,999999999.9999992
752,999999999.999999
753,999999999.9999999
754,230342.6309999681
755,1000000000.0000008
756,64804.43847367848
757,999000000.0218353
758,999999999.9999998
759,6685065.653331734
760,23799.278762795137
761,999000000.0306981
762,1000000000.0000008
763,206775348.4813559
764,179642282.73656005
765,999000000.0289649
766,999000000.0084543
767,999000000.0091282
768,999000000.0213387
769,31.003709455482046
770,999000000.0247267
771,1000000000.0000004
772,999000000.0249083
773,999999999.9999998
774,999999999.9999989
775,999000000.0150653
776,999000000.0177276
777,999000000.0268873
778,999000000.0177283
779,176785956.82000688
780,1000000000.0
781,1000000000.0000013
782,6607.600625795906
783,315055.3999376843
784,999000000.026941
785,81.89136218185688
786,1000000000.0000002
787,999000000.0032642
788,1000000000.000001
789,35865802.73577036
790,1000000000.0000004
791,952793.5977839296
792,1300031.436806828
793,607356.9179495327
794,1000000000.0000001
795,999999999.9999996
796,1000000000.0
797,658112.9695112804
798,999000000.026939
799,16613.27709032954
800,1000000000.0000006
801,999999999.9999993
802,15647.658765000664
803,3114215.8225305905
804,999000000.0313071
805,999000000.0181645
806,999000000.0289637
807,999000000.0213383
808,1000000000.0000006
809,999000000.0040885
810,13697.508119678901
811,999000000.0213406
812,163712.43775812257
813,1000000000.0000007
814,1000000000.0000006
815,7817818.935814802
816,999999999.9999996
817,838593281.5633723
818,1000000000.0000002
819,15687300.602223054
820,999999999.9999988
821,1000000000.0000006
822,5672078.285771927
823,999000000.008454
824,999000000.0040878
825,999000000.0104424
826,82348325.66013353
827,600690.0467917441
828,999999999.9999992
829,999000000.0230561
830,1000000000.0000001
831,59194.49911545862
832,9672.11811957574
833,999999999.9999993
834,999000000.0040876
835,101570.95809807412
836,999999999.9999994
837,999999999.9999982
838,999000000.0191361
839,28154507.954317782
840,1000000000.0
841,21247.0672566349
842,999000000.0217665
843,999000000.0330274
844,999999999.9999987
845,999999999.9999998
846,999000000.0091269
847,1000000000.0000001
848,1000000000.0000008
849,341737.4002859025
850,999000000.0248282
851,8734.455094527784
852,1119323.5609209104
853,999999999.9999995
854,1000000000.0000015
855,32909.34639424768
856,999000000.0330275
857,109430.9353905116
858,1000000000.0000006
859,247087.05889838113
860,2929931.3291897564
861,1000000000.0
862,3997.1229306425507
863,999999999.9999986
864,999000000.0217656
865,1000000000.0000001
866,1000000000.0000005
867,999000000.0289637
868,999999999.9999993
869,495595.78498839826
870,999000000.0066161
871,999999999.9999988
872,536231.1520459261
873,2035011.3701493924
874,999000000.0207589
875,999000000.0155032
876,999000000.0271454
877,999000000.0037647
878,1000000000.0000013
879,1000000000.0000011
880,1000000000.0
881,1392565.6264035201
882,999000000.0022136
883,999999999.9999992
884,460857.0466125712
885,263337.36754898576
886,9232713.879776813
887,999999999.9999996
888,999999999.9999998
889,999000000.0024263
890,999000000.0110081
891,1000000000.0000015
892,999999999.9999995
893,1976.9281507455287
894,999000000.0104412
895,999000000.0148885
896,999000000.0213393
897,999999999.9999987
898,999000000.0220113
899,999000000.0191212
900,1000000000.0000011
901,999000000.0250318
902,999999999.9999993
903,999000000.0236603
904,999999999.999999
905,54166.32098396692
906,999000000.008454
907,999000000.0124542
908,999000000.0298237
909,999000000.0260957
910,999000000.0124544
911,69842.93964075812
912,999000000.0218363
913,1000000000.0000006
914,999999999.9999995
915,1000000000.0
916,344807.2525919079
917,345558389.157201
918,340.3826247033384
919,999999999.9999994
