,runstring,instability_time,shadow_instability_time,Stable
0,0000000.bin,74.8592359031233,106.0707914555106,False
1,0000001.bin,999000000.0322906,999000000.0322906,True
2,0000002.bin,999000000.0104425,999000000.0104425,True
3,0000003.bin,16.48912368805539,16.489123688055386,False
4,0000004.bin,999000000.0066177,999000000.0066177,True
5,0000005.bin,1000000000.0,999999999.9999998,True
6,0000006.bin,13864.685663147053,188370.60585871062,False
7,0000007.bin,999000000.0126996,999000000.0126996,True
8,0000008.bin,999000000.0157086,999000000.0157086,True
9,0000009.bin,999000000.0177286,999000000.0177286,True
10,0000010.bin,1000000000.0,1000000000.0000011,True
11,0000011.bin,1000000000.0,999999999.9999998,True
12,0000012.bin,999000000.0066161,999000000.0066161,True
13,0000013.bin,1000000000.0,999999999.9999993,True
14,0000014.bin,999000000.0250324,999000000.0250324,True
15,0000015.bin,173.55149091842887,187.6503844920437,False
16,0000016.bin,1000000000.0,999999999.9999992,True
17,0000017.bin,2487.502087797023,17074.52222015928,False
18,0000018.bin,1000000000.0000001,1000000000.0000012,True
19,0000019.bin,999000000.0191357,999000000.0191357,True
20,0000020.bin,1000000000.0000001,1000000000.0000012,True
21,0000021.bin,999000000.0110089,999000000.0110089,True
22,0000022.bin,14759827.536862416,68082538.89091295,False
23,0000023.bin,160.526468845507,160.49182782935563,False
24,0000024.bin,999000000.0025487,999000000.0025487,True
25,0000025.bin,1404858.9277658518,932856.0981631584,False
26,0000026.bin,999000000.0207589,999000000.0207589,True
27,0000027.bin,1000000000.0,1000000000.0,True
28,0000028.bin,999000000.0091275,999000000.0091275,True
29,0000029.bin,1000000000.0,999999999.9999995,True
30,0000030.bin,1544.1925769822,2097.5135279695123,False
31,0000031.bin,4258208.008544975,550566.7130735349,False
32,0000032.bin,999000000.0218356,999000000.0218356,True
33,0000033.bin,999999999.9999999,999999999.9999992,True
34,0000034.bin,1000000000.0,1000000000.0000006,True
35,0000035.bin,39.282912315663914,39.282912315663914,False
36,0000036.bin,999999999.9999999,999999999.9999999,True
37,0000037.bin,999000000.0210674,999000000.0210674,True
38,0000038.bin,1000000000.0000001,999999999.999999,True
39,0000039.bin,3138414.6827221466,212407.8683859181,False
40,0000040.bin,149624.42146069827,2570805.107890717,False
41,0000041.bin,999000000.0342844,999000000.0342844,True
42,0000042.bin,1016381.338594617,196544.1882926043,False
43,0000043.bin,79364.57718020017,7176.648598137681,False
44,0000044.bin,180310.23032909195,56518.9655927195,False
45,0000045.bin,1000000000.0000001,1000000000.0000001,True
46,0000046.bin,15975930.895220796,17092703.741220992,False
47,0000047.bin,999000000.0213383,999000000.0213383,True
48,0000048.bin,999000000.0177274,999000000.0177274,True
49,0000049.bin,1000000000.0,999999999.9999985,True
50,0000050.bin,1000000000.0,999999999.999999,True
51,0000051.bin,1000000000.0000001,1000000000.0000001,True
52,0000052.bin,1000000000.0,1000000000.0000005,True
53,0000053.bin,999000000.003765,999000000.003765,True
54,0000054.bin,999000000.0278163,999000000.0278163,True
55,0000055.bin,1000000000.0,999999999.9999992,True
56,0000056.bin,61635.54759740868,219661.76649499123,False
57,0000057.bin,999000000.0191367,999000000.0191367,True
58,0000058.bin,999000000.0260957,999000000.0260957,True
59,0000059.bin,1000000000.0,1000000000.0000005,True
60,0000060.bin,999000000.0289642,999000000.0289642,True
61,0000061.bin,1000000000.0,1000000000.0000002,True
62,0000062.bin,999999999.9999999,1000000000.0000004,True
63,0000063.bin,999000000.0250326,999000000.0250326,True
64,0000064.bin,999000000.0249076,999000000.0249076,True
65,0000065.bin,999000000.0207583,999000000.0207583,True
66,0000066.bin,999000000.0191344,999000000.0191344,True
67,0000067.bin,1000000000.0,1000000000.0,True
68,0000068.bin,999000000.0140692,999000000.0140692,True
69,0000069.bin,999000000.0210669,999000000.0210669,True
70,0000070.bin,777287687.2171375,48823668.39209956,False
71,0000071.bin,999000000.0194689,999000000.0194689,True
72,0000072.bin,1000000000.0,1000000000.0000006,True
73,0000073.bin,47726829.06558831,55130077.302709624,False
74,0000074.bin,999000000.0104412,999000000.0104412,True
75,0000075.bin,999000000.0139298,999000000.0139298,True
76,0000076.bin,26.742864468862777,26.742864468862777,False
77,0000077.bin,999000000.0177269,999000000.0177269,True
78,0000078.bin,999000000.0150646,999000000.0150646,True
79,0000079.bin,999000000.0040874,999000000.0040874,True
80,0000080.bin,1000000000.0,1000000000.0,True
81,0000081.bin,1000000000.0,999999999.9999988,True
82,0000082.bin,1000000000.0,999999999.999999,True
83,0000083.bin,1000000000.0,1000000000.0,True
84,0000084.bin,1000000000.0,1000000000.0,True
85,0000085.bin,999000000.0140709,999000000.0140709,True
86,0000086.bin,999000000.0040885,999000000.0040885,True
87,0000087.bin,260695.9207245542,3141198.74185831,False
88,0000088.bin,1000000000.0,999999999.9999995,True
89,0000089.bin,999999999.9999999,1000000000.0000008,True
90,0000090.bin,999000000.0331603,999000000.0331603,True
