,shadow_instability_time
0,83152228.02342616
1,213307.18386134075
2,9321.862805345363
3,1000000258.7401515
4,87.91889899220064
5,1000003695.509191
6,149.30277961242467
7,321.05293769089263
8,0.8313843876330606
9,105.72438129401283
10,1000002589.2693236
11,1000001137.9113199
12,9.283792328569115
13,1000000299.2233037
14,1000000104.5816749
15,920.169312028461
16,1000000607.48869
17,1000001840.4386028
18,1000000174.8898294
19,8.2792028601792
20,5.403998519614886
21,646731.4897320283
22,311303.32758392603
23,293.79045797982735
24,1338906.2452607527
25,671975.3343430436
26,344.15849546394116
27,287.38186999174036
28,41949.19668968655
29,1157.979887909202
30,1985342.9766227228
31,52379.15631848156
32,1000000085.3562527
33,1000002570.1277798
34,10944557.17765795
35,171402.15444260556
36,1000000484.252042
37,1000005558.8183055
38,337.29957426584434
39,1000000213.07068
40,1000001187.9273318
41,1000000695.0754077
42,10783.367276689625
43,1000000065.2567598
44,26680.198870404005
45,679.1371216484135
46,74665.59262532942
47,1000000568.209706
48,129779020.53370179
49,1000000079.3637016
50,105.23940706787546
51,1000000268.8581668
52,3997887.884952887
53,1000003551.3515311
54,1000027535.4984668
55,1000000093.3231843
56,585.8488651520549
57,726856.4024885213
58,350.5324424357215
59,28.440274260280137
60,4521306.894922728
61,1000001522.060733
62,51883.92834874868
63,7813.627603135203
64,11.812586507619848
65,1000000877.4084476
66,12675902.633475702
67,47501363.52845194
68,1967649.4136123748
69,12954.077271829492
70,1000026808.4618481
71,1237.9659942019648
72,1309103.3655227213
73,1000000345.4747822
74,287.79756218558737
75,1000001125.9138521
76,1000000646.6060842
77,7181.151930236142
78,1000013880.3822618
79,183499788.89299005
80,411606667.10385174
81,1000001647.3689954
82,1000000135.8725208
83,7.170690343335101
84,156.50811097193716
85,10774.637740602788
86,121.93637685285681
87,1000000137.0359068
88,1000000778.8188713
89,1387.9615941392024
90,272999.26642615715
91,498606.6434511342
92,3298414.825233344
93,18167.55020251092
94,450.6796201291557
95,1000009537.8912889
96,1000000646.7743593
97,1000000191.6821645
98,29.92983795479005
99,788534157.1570108
100,1000000136.7658727
101,1000002769.6558003
102,1000000139.1501226
103,31445693.229370046
104,368534.96275216923
105,1000021540.8766607
106,1000006776.722966
107,64.12052089619583
108,884626.2086566392
109,21694.386698461913
110,1000031750.3851577
111,1000015152.2947589
112,1000001389.0235361
113,157.37413637571237
114,652.3942571791499
115,4897.858632616586
116,7.794228634059995
117,32509.9354794415
118,98044.53728972869
119,140272851.3832425
120,250867.05205173438
121,1000000091.3849003
122,1000001694.4359493
123,71280.1261174341
124,646389.8256447362
125,1000025069.127442
126,1000002610.3554908
127,2.667358243656069
128,747.7263336275685
129,7841219.131136482
130,1000001812.6060963
131,21260974.3413648
132,58185.16383021425
133,1000001515.1918538
134,1000001416.8568194
135,1000005100.0449684
136,1000002667.5836664
137,85745.48700052773
138,473505108.6376627
139,1000000050.5243244
140,1605.3339704863279
141,200880.58528494462
142,181512024.9929021
143,8105.824574424297
144,1000001106.0415186
145,6.99748526257831
146,2269.7140192520365
147,39785416.59462881
148,19.60681514167973
149,21512.659927222132
150,1000014804.3217582
151,579.7520463092748
152,59885.864517349764
153,1000047759.8176991
154,1000000203.421512
155,1000002764.5744089
156,43041.60113185486
157,207718.16760640228
158,87289107.20702478
159,1000000763.0086877
160,1000000116.5684495
161,1000001793.0806538
162,22.031686272276392
163,1000002104.9006929
164,1000000096.5994562
165,174.9717725806109
166,96.1981018523714
167,1000000242.9163067
168,2146.7037709044444
169,305662.24596674234
170,4294431.58186888
171,460.20589957130966
172,36488.075132351005
173,7045828.134277135
174,2197.7299876913867
175,329.57462766425544
176,7664.775156654638
177,1000040038.8718361
178,318820.4974059589
179,225.23588701625656
180,605273.988259425
181,587300.6008784346
182,24147.17848715366
183,1000000105.3908826
184,5189.501347599048
185,1000025097.831199
186,130.45806682608662
187,253.74544330891447
188,7105005.994762786
189,1000001410.1606277
190,2288.6626550911665
191,245320.05530073735
192,1000000659.1411467
193,1000002422.9683963
194,1759.2786462612146
195,1000003058.6201173
196,320397719.760274
197,2779.144802777315
198,1000000072.0951223
199,777.829376662613
200,1000000068.5169308
201,40891042.20751335
202,532.7095463761431
203,691232.2060146303
204,18193.219195700203
205,338461.0876220198
206,105177223.08861606
207,8179.471374709436
208,1000000343.6822407
209,10743.322262099162
210,1000000712.9902604
211,62907733.81937481
212,49.432730048014314
213,1000000143.0239674
214,1000001781.6401762
215,1000000067.7815804
216,234101.8047834947
217,7789515.7952798745
218,54552.42974962423
219,788.0484764283035
220,671505.5667289939
221,6418845.910791249
222,182.73136019853288
