,runstring,instability_time,shadow_instability_time,Stable
0,0000000.bin,12356653.045331385,83152228.02342616,False
1,0000001.bin,134874.90029490917,213307.18386134075,False
2,0000002.bin,12764.27914425517,9321.862805345363,False
3,0000003.bin,1000000258.7401515,1000000258.7401515,True
4,0000004.bin,87.91889899220064,87.91889899220064,False
5,0000005.bin,1000003695.509191,1000003695.509191,True
6,0000006.bin,149.30277961242467,149.30277961242467,False
7,0000007.bin,521.1394469811531,321.05293769089263,False
8,0000008.bin,0.8313843876330606,0.8313843876330606,False
9,0000009.bin,105.72438129401283,105.72438129401283,False
10,0000010.bin,1000002589.2693236,1000002589.2693236,True
11,0000011.bin,1000001137.9113199,1000001137.9113199,True
12,0000012.bin,9.283792328569115,9.283792328569115,False
13,0000013.bin,1000000299.2233037,1000000299.2233037,True
14,0000014.bin,1000000104.5816749,1000000104.5816749,True
15,0000015.bin,13947.304487050347,920.169312028461,False
16,0000016.bin,1000000607.48869,1000000607.48869,True
17,0000017.bin,1000001840.4386028,1000001840.4386028,True
18,0000018.bin,1000000174.8898294,1000000174.8898294,True
19,0000019.bin,8.2792028601792,8.2792028601792,False
20,0000020.bin,5.403998519614886,5.403998519614886,False
21,0000021.bin,359024.27174825897,646731.4897320283,False
22,0000022.bin,2025613.0849232462,311303.32758392603,False
23,0000023.bin,293.79045797982735,293.79045797982735,False
24,0000024.bin,27242754.89718039,1338906.2452607527,False
25,0000025.bin,370834.2950501756,671975.3343430436,False
26,0000026.bin,406.30447843951345,344.15849546394116,False
27,0000027.bin,236.11316608772188,287.38186999174036,False
28,0000028.bin,33746.4119104553,41949.19668968655,False
29,0000029.bin,1136.086765701507,1157.979887909202,False
30,0000030.bin,7581228.065143473,1985342.9766227228,False
31,0000031.bin,26710.960093301932,52379.15631848156,False
32,0000032.bin,1000000085.3562527,1000000085.3562527,True
33,0000033.bin,1000002570.1277798,1000002570.1277798,True
34,0000034.bin,32685819.635902874,10944557.17765795,False
35,0000035.bin,291882.25763881305,171402.15444260556,False
36,0000036.bin,1000000484.252042,1000000484.252042,True
37,0000037.bin,1000005558.8183055,1000005558.8183055,True
38,0000038.bin,192.39620370475905,337.29957426584434,False
39,0000039.bin,1000000213.07068,1000000213.07068,True
40,0000040.bin,1000001187.9273318,1000001187.9273318,True
41,0000041.bin,1000000695.0754077,1000000695.0754077,True
42,0000042.bin,55864.63144299294,10783.367276689625,False
43,0000043.bin,1000000065.2567598,1000000065.2567598,True
44,0000044.bin,30278.395859027758,26680.198870404005,False
45,0000045.bin,404.43386356755457,679.1371216484135,False
46,0000046.bin,2308975.0389729533,74665.59262532942,False
47,0000047.bin,1000000568.209706,1000000568.209706,True
48,0000048.bin,230754688.04335865,129779020.53370179,False
49,0000049.bin,1000000079.3637016,1000000079.3637016,True
50,0000050.bin,105.23940706787546,105.23940706787546,False
51,0000051.bin,1000000268.8581668,1000000268.8581668,True
52,0000052.bin,1424781.392397345,3997887.884952887,False
53,0000053.bin,1000003551.3515311,1000003551.3515311,True
54,0000054.bin,1000027535.4984668,1000027535.4984668,True
55,0000055.bin,1000000093.3231843,1000000093.3231843,True
56,0000056.bin,385.4505867162246,585.8488651520549,False
57,0000057.bin,547362.0726334566,726856.4024885213,False
58,0000058.bin,5325.883028170405,350.5324424357215,False
59,0000059.bin,28.440274260280137,28.440274260280137,False
60,0000060.bin,5463266.507624816,4521306.894922728,False
61,0000061.bin,1000001522.060733,1000001522.060733,True
62,0000062.bin,57137.93126755595,51883.92834874868,False
63,0000063.bin,11625.38645620542,7813.627603135203,False
64,0000064.bin,11.812586507619848,11.812586507619848,False
65,0000065.bin,1000000877.4084476,1000000877.4084476,True
66,0000066.bin,9824842.625517856,12675902.633475702,False
67,0000067.bin,35670392.47532305,47501363.52845194,False
68,0000068.bin,74015324.53265028,1967649.4136123748,False
69,0000069.bin,11857.966238768515,12954.077271829492,False
70,0000070.bin,1000026808.4618481,1000026808.4618481,True
71,0000071.bin,596.9339903201546,1237.9659942019648,False
72,0000072.bin,507864.73217487097,1309103.3655227213,False
73,0000073.bin,1000000345.4747822,1000000345.4747822,True
74,0000074.bin,87.08751460456807,287.79756218558737,False
75,0000075.bin,1000001125.9138521,1000001125.9138521,True
76,0000076.bin,1000000646.6060842,1000000646.6060842,True
77,0000077.bin,28789.663549742218,7181.151930236142,False
78,0000078.bin,1000013880.3822618,1000013880.3822618,True
79,0000079.bin,22104784.004243813,183499788.89299005,False
80,0000080.bin,273592387.881893,411606667.10385174,False
81,0000081.bin,1000001647.3689954,1000001647.3689954,True
82,0000082.bin,1000000135.8725208,1000000135.8725208,True
83,0000083.bin,7.170690343335101,7.170690343335101,False
84,0000084.bin,156.6466750365427,156.50811097193716,False
85,0000085.bin,1068.502143188496,10774.637740602788,False
86,0000086.bin,121.93637685285681,121.93637685285681,False
87,0000087.bin,1000000137.0359068,1000000137.0359068,True
88,0000088.bin,1000000778.8188713,1000000778.8188713,True
89,0000089.bin,1319.6841513046634,1387.9615941392024,False
90,0000090.bin,452629.4241808902,272999.26642615715,False
91,0000091.bin,525542.3544162761,498606.6434511342,False
92,0000092.bin,1883655.1751283947,3298414.825233344,False
93,0000093.bin,7570.101259518063,18167.55020251092,False
94,0000094.bin,1027.5911031149942,450.6796201291557,False
95,0000095.bin,1000009537.8912889,1000009537.8912889,True
96,0000096.bin,1000000646.7743593,1000000646.7743593,True
97,0000097.bin,1000000191.6821645,1000000191.6821645,True
98,0000098.bin,29.92983795479005,29.92983795479005,False
