,runstring,m1,m2,m3
0,0000000.bin,3.4140160192072926e-05,1.8787249753397036e-05,1.8268998599127623e-06
1,0000001.bin,2.5298381201802596e-07,3.485789928918549e-05,1.9557973661340233e-05
2,0000002.bin,7.380789436025696e-05,6.974008320384787e-05,1.4779308111519763e-07
3,0000003.bin,5.174803715214938e-07,4.292276354690093e-06,1.2878506444947535e-06
4,0000004.bin,5.106746138932635e-07,2.0393797501247804e-07,1.5423208434567874e-06
5,0000005.bin,7.391032035357176e-06,1.6801999512899402e-05,2.4298568942447116e-05
6,0000006.bin,2.3989447799428133e-05,2.9232242108760748e-05,2.85170031627245e-06
7,0000007.bin,9.364795422756956e-07,2.834963826558836e-07,8.97022670479415e-06
8,0000008.bin,4.787596911513267e-07,7.706995537180603e-05,2.393275505503038e-07
9,0000009.bin,2.449187721061062e-06,1.3180618627396428e-06,2.603863641978969e-07
10,0000010.bin,5.178545352737761e-06,1.9349384913019015e-06,5.423428305346011e-06
11,0000011.bin,2.275823934546539e-06,4.7787813293652036e-06,5.924227831275747e-05
12,0000012.bin,2.65284597874946e-06,9.384637633223254e-06,9.982318289530414e-06
13,0000013.bin,5.984466981315374e-07,1.1370353812719136e-05,1.1278354834615376e-05
14,0000014.bin,2.0916336163036924e-07,1.2816120201014915e-05,9.039118105554954e-06
15,0000015.bin,7.865501616629306e-05,1.0838372708079486e-07,1.6142651069097773e-05
16,0000016.bin,1.214977750028306e-06,2.763388823787635e-06,1.7817955904465443e-06
17,0000017.bin,3.680880592024199e-06,2.6307060971498962e-05,7.611746618614206e-05
18,0000018.bin,3.497796911972419e-07,9.644764893416693e-06,1.0085074470777288e-06
19,0000019.bin,1.0749233090612316e-05,2.2632580213847216e-05,3.64249086778993e-06
20,0000020.bin,5.210975466852393e-05,1.1448865967214717e-05,1.9930939418882423e-05
21,0000021.bin,3.124988615316884e-07,1.1730074560477507e-05,8.03525791398403e-06
22,0000022.bin,7.49252394311766e-05,2.636973529221057e-07,1.1771950883672205e-07
23,0000023.bin,5.95107953930914e-05,7.01160325514293e-05,4.756637245264213e-05
24,0000024.bin,1.3709731945235689e-05,3.306733604790689e-05,3.530007766235068e-07
25,0000025.bin,1.3517205214120819e-06,6.030669427572176e-05,3.3910970370555785e-05
