,runstring,instability_time,shadow_instability_time,Stable
0,0000000.bin,1545872.28542237,3063700.3178739278,False
1,0000001.bin,999000000.0049608,999000000.0049608,True
2,0000002.bin,999000000.0049607,999000000.0049607,True
3,0000003.bin,2287670.6431605443,8392234.130232591,False
4,0000004.bin,966893.1133122643,338035.00309931004,False
5,0000005.bin,575589.3738979587,54597.80948324918,False
6,0000006.bin,72483721.3651907,324322048.50444067,False
7,0000007.bin,22258.5849278502,6193.744405791929,False
8,0000008.bin,293096.5984778255,1359759.4071287075,False
9,0000009.bin,348479.0616249326,953497.3284858277,False
10,0000010.bin,834995.7126820801,2643685.6165668876,False
11,0000011.bin,11707610.477940055,33929237.080349684,False
12,0000012.bin,1000000000.0,1000000000.0,True
13,0000013.bin,45060.89524776292,67937.8569597041,False
14,0000014.bin,20910.737630430925,22105.471636462742,False
15,0000015.bin,140210.79461136015,52104.73019135426,False
16,0000016.bin,14795269.671115743,7436458.492093781,False
17,0000017.bin,1000000000.0,1000000000.0,True
18,0000018.bin,98716780.65077773,29839217.692676265,False
19,0000019.bin,153688.08979383425,118348.57218574344,False
20,0000020.bin,17863.609926740573,31198.32268390625,False
21,0000021.bin,1000000000.0,1000000000.0,True
22,0000022.bin,177459.7250300951,239870.088253361,False
23,0000023.bin,311092.64101306576,768474.604217912,False
24,0000024.bin,28232606.432492178,40928251.46636576,False
25,0000025.bin,1835425.4553373016,615350.9902901102,False
26,0000026.bin,86961.10954708565,62243.4974415745,False
27,0000027.bin,98209.4631858714,56585.68419549177,False
28,0000028.bin,927399.3412561481,40170.241945521426,False
29,0000029.bin,183274144.50606477,999000000.004961,False
30,0000030.bin,513878.23975825246,2706826.69759719,False
31,0000031.bin,9297808.769688481,12773853.268569423,False
32,0000032.bin,999000000.0049607,999000000.0049607,True
33,0000033.bin,17586.655002613352,82095.32849444578,False
34,0000034.bin,39653.98688171462,48131.40563800006,False
35,0000035.bin,135835315.33203834,44908063.59030439,False
36,0000036.bin,494549.69589546777,15153.712515280207,False
37,0000037.bin,52737.48299250134,64609.374922136194,False
38,0000038.bin,798445.457041073,27687.66354309941,False
39,0000039.bin,71403164.7312332,61336278.97345241,False
40,0000040.bin,1000000000.0,1000000000.0,True
41,0000041.bin,863656.4769195539,408886.4120118953,False
42,0000042.bin,269341.1059550944,38543.01485250259,False
43,0000043.bin,99076.18141015146,334624.66434055974,False
44,0000044.bin,91677481.69740072,457242639.1526052,False
45,0000045.bin,11639.727836922842,6799.892906402115,False
46,0000046.bin,45518.60699426215,3424929.526331968,False
47,0000047.bin,2168327.0420187474,658998.7051438703,False
48,0000048.bin,171918.9637776113,474124.0710509509,False
49,0000049.bin,380981.4453686442,247915.25641002308,False
50,0000050.bin,16512.956707013127,20023.269437658495,False
51,0000051.bin,33378027.487331,29487714.021979056,False
52,0000052.bin,492217300.92033845,72135635.60811038,False
53,0000053.bin,1970204.1233826473,110776.77351488365,False
54,0000054.bin,2220683.5432983446,1434684.5997933003,False
55,0000055.bin,83060546.86904912,23473366.953578427,False
56,0000056.bin,1000000000.0,1000000000.0,True
57,0000057.bin,1000000000.0,1000000000.0,True
58,0000058.bin,248786.51260742,331280.35135860747,False
59,0000059.bin,37312.87772770605,93669.37696715168,False
60,0000060.bin,17874.417923779693,17927.38403747457,False
61,0000061.bin,21611.178977004143,275260.21638605883,False
62,0000062.bin,104994.35653367973,99882.5896253,False
63,0000063.bin,175742.91626929113,59187.39771405914,False
64,0000064.bin,1000000000.0,1000000000.0,True
