,runstring,m1,m2,m3
0,0000000.bin,3.984935919919475e-06,1.2444220690619369e-05,2.531712509418368e-07
1,0000001.bin,2.0655573166511758e-07,1.6814320018687553e-05,6.830432292800298e-07
2,0000002.bin,1.7972816555507898e-07,3.209939082188778e-05,9.648478756098132e-05
3,0000003.bin,4.704639192121651e-05,6.921214843010835e-06,1.61583356039822e-05
4,0000004.bin,3.5141578056630984e-06,7.277759818915445e-07,4.655615893497274e-05
5,0000005.bin,8.506784931382269e-07,3.920461240767684e-06,5.536199670824666e-07
6,0000006.bin,5.392186750776218e-05,1.9350728820687977e-05,1.289778299984564e-07
7,0000007.bin,3.1363296059230877e-06,5.805163136250578e-07,7.423538863521087e-07
8,0000008.bin,4.921080374272058e-05,7.707754090734311e-05,2.3935110613212483e-07
9,0000009.bin,2.6150528900013084e-06,7.541865818179519e-05,3.0081771281977747e-07
10,0000010.bin,2.0427368684280636e-06,9.076081670730956e-06,2.769233622957008e-07
11,0000011.bin,1.096478719868516e-06,4.92110888973676e-06,8.324831503634481e-07
12,0000012.bin,9.637660613931957e-06,9.384818525999928e-06,9.982510702849246e-06
13,0000013.bin,1.2300479610370966e-07,1.1370356609935415e-05,1.127835760919902e-05
14,0000014.bin,1.2456844426930746e-07,4.2728651663818207e-07,1.0317838495642954e-06
15,0000015.bin,4.916181592386841e-05,1.2165894049235378e-05,1.1502386540960348e-05
16,0000016.bin,7.163177473159712e-05,2.763784730858333e-06,1.7820508659498407e-06
17,0000017.bin,1.1036662841518749e-07,4.07542008815988e-06,3.4751654133946204e-07
18,0000018.bin,6.199515965904964e-06,3.5669516709665918e-06,3.9356718741414123e-05
19,0000019.bin,2.9859634681813686e-07,1.4948534295676688e-06,8.072280028985093e-07
20,0000020.bin,1.3009420757376663e-07,5.793849179128083e-07,2.124836129922304e-06
21,0000021.bin,3.880696632050163e-06,9.843506537537655e-06,3.652119572172537e-05
22,0000022.bin,1.1771953655249574e-07,9.905857205517948e-05,3.4467235254433734e-07
23,0000023.bin,1.0281436951243524e-07,1.3865735512321729e-06,2.7316366217996182e-05
24,0000024.bin,2.1371390095618583e-07,8.975766559733295e-06,1.717010563069815e-05
25,0000025.bin,2.2993645922777198e-07,3.0475569954034254e-07,2.093477153511259e-06
26,0000026.bin,4.1254974273618465e-07,9.125842055203146e-05,6.342664455350394e-06
27,0000027.bin,6.786658113868645e-07,2.9108920230024455e-05,7.209881096794213e-07
28,0000028.bin,2.469202540798922e-07,4.0149856023493804e-07,6.191314782194193e-06
29,0000029.bin,1.8053539786331772e-07,6.245877893773139e-06,6.56475866301836e-06
30,0000030.bin,8.747855940271322e-07,3.104246779113271e-07,2.3354201776410366e-06
31,0000031.bin,4.937510901279865e-07,2.1736870204061708e-07,1.5083860717089507e-06
32,0000032.bin,2.7160354736960386e-07,1.244692691120311e-05,2.548667009024505e-06
33,0000033.bin,2.273014498226941e-06,1.4700173311266792e-07,2.0569123316817883e-07
34,0000034.bin,1.2106468205320467e-07,6.647966223211385e-07,4.874575777925834e-07
35,0000035.bin,1.745562284894083e-05,3.936865099095803e-05,1.4192166008829864e-05
36,0000036.bin,2.814866778380558e-07,5.931731016376544e-05,3.5281191455006634e-06
37,0000037.bin,4.42887970443502e-06,3.735189768590713e-07,9.77272761847088e-07
38,0000038.bin,9.360419608236456e-05,1.8348754955670243e-05,2.017349058715403e-07
