,shadow_instability_time
0,3063700.3178739278
1,999000000.0049608
2,999000000.0049607
3,8392234.130232591
4,338035.00309931004
5,54597.80948324918
6,324322048.50444067
7,6193.744405791929
8,1359759.4071287075
9,953497.3284858277
10,2643685.6165668876
11,33929237.080349684
12,1000000000.0
13,67937.8569597041
14,22105.471636462742
15,52104.73019135426
16,7436458.492093781
17,1000000000.0
18,29839217.692676265
19,118348.57218574344
20,31198.32268390625
21,1000000000.0
22,239870.088253361
23,768474.604217912
24,40928251.46636576
25,615350.9902901102
26,62243.4974415745
27,56585.68419549177
28,40170.241945521426
29,999000000.004961
30,2706826.69759719
31,12773853.268569423
32,999000000.0049607
33,82095.32849444578
34,48131.40563800006
35,44908063.59030439
36,15153.712515280207
37,64609.374922136194
38,27687.66354309941
39,61336278.97345241
40,1000000000.0
41,408886.4120118953
42,38543.01485250259
43,334624.66434055974
44,457242639.1526052
45,6799.892906402115
46,3424929.526331968
47,658998.7051438703
48,474124.0710509509
49,247915.25641002308
50,20023.269437658495
51,29487714.021979056
52,72135635.60811038
53,110776.77351488365
54,1434684.5997933003
55,23473366.953578427
56,1000000000.0
57,1000000000.0
58,331280.35135860747
59,93669.37696715168
60,17927.38403747457
61,275260.21638605883
62,99882.5896253
63,59187.39771405914
64,1000000000.0
65,92897.22871698377
66,5712494.311839439
67,32814302.65073439
68,1000000000.0
69,2371.281478609897
70,437421.25625195075
71,19864.648224703058
72,999000000.0049607
73,101722.58183956296
74,999000000.0049611
75,483066.0604749347
76,999000000.0049617
77,276877.6747125212
78,1000000000.0
79,1000000000.0
80,33682.15282415722
81,130621.57244147497
82,1000000000.0
83,758742.5571711123
84,158342.90705807
85,999000000.0049607
86,999000000.0049608
87,999000000.0049605
88,12645319.89078418
89,18275.38768572751
90,999000000.0049607
91,73627032.71452901
92,110499.71466764984
93,816910.7813601539
94,26634.4380880444
95,30964.77295301625
96,14402863.651933545
97,9965233.350459114
98,1000000000.0
99,93095.72173957068
100,69711.8926792016
101,299303.47183001717
102,4295931.4269562485
103,3347.7424418742685
104,1000000000.0
105,1000000000.0
106,12467384.09366419
107,1000000000.0
108,43495255.389262356
109,2494295.298574843
110,54799991.300279215
111,73304786.32336254
112,34780212.39833646
113,2471793.4989922773
114,117671.85993509143
115,185677.54401129036
116,999000000.0049603
117,24351124.90113578
118,20692371.431913096
119,193967.03525491708
120,999000000.0049621
121,1452906.4325330968
122,74859.79016743442
123,1000000000.0
124,656680997.7070847
125,55116.731905300105
126,2110804.7338282005
127,14945.866418374226
128,11532070.626710711
129,1000000000.0
130,336918.24602039903
131,49429989.4433916
132,49959964.511409655
133,17803975.81560596
134,9950.285479238597
135,1000000000.0
136,50548852.752727166
137,999000000.0049605
138,999000000.0049611
139,1000000000.0
140,86065570.99130389
141,14201649.02259493
142,5452.253455079785
143,27414.865540910294
144,999000000.004961
145,1022765.7466502431
146,13032.747019402972
147,999000000.0049607
148,1000000000.0
149,752446.933556681
150,263965.9634008628
151,1000000000.0
152,1000000000.0
153,20139.97502107121
154,1000000000.0
155,219555.79963477666
156,1000000000.0
157,2547587.21121691
158,999000000.004961
159,8232628.245823183
160,1000000000.0
161,257586.7856343007
162,186519.2860629204
163,2328341.4479330853
164,1000000000.0
165,24693.848363265446
166,21341.637230333225
167,1873849.3745122366
168,12600.946753080769
169,15198.537990179588
170,70135.96799901119
171,246713.66348254145
172,214814.76088132287
173,1000000000.0
174,999000000.0049616
175,200711.01756264264
176,20489009.91281933
177,18979379.735291556
178,9828.071974257866
179,6550884.674768489
180,999000000.004961
181,999000000.0049607
182,46630.09863871654
183,999000000.0049607
184,1000000000.0
185,48321.27304756357
186,1000000000.0
187,1689637.87231986
188,33010.04782865436
189,999000000.0049609
190,1000000000.0
191,5957864.736110875
192,104577.55582726328
193,999000000.0049607
194,373109.5862158222
195,109653.33071985458
196,999000000.0049607
197,1109132.76289384
198,37174135.86220826
199,1000000000.0
200,28465.181150608587
201,2924.98348076747
202,81908.6826993849
203,5193075.759409481
204,25572703.52385812
205,1758209.833317644
206,178625.32594178882
207,999000000.0049608
208,59270460.18089004
209,6695032.698485657
210,394624.22068530665
211,464635.09998182737
212,999000000.0049607
